PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,REB,AST,STL,BLK,TEAM_PLAYERS,SUM_GP_TEAM
1626164,1,Devin Booker,1610612756,PHX,11,4.8,7.2,1.7,0.8,8,79
1630162,2,Anthony Edwards,1610612750,MIN,5,5.0,5.2,1.8,2.0,9,43
201939,3,Stephen Curry,1610612744,GSW,13,5.2,6.1,1.0,0.5,10,124
203999,4,Nikola Jokic,1610612743,DEN,20,13.5,9.5,1.1,1.0,8,159
1629027,5,Trae Young,1610612737,ATL,6,3.7,10.2,1.7,0.7,9,53
201142,6,Kevin Durant,1610612756,PHX,11,8.7,5.5,0.8,1.4,8,79
1628973,7,Jalen Brunson,1610612752,NYK,11,4.9,5.6,1.5,0.1,10,101
1628368,8,DeAaron Fox,1610612758,SAC,7,5.4,7.7,2.1,0.6,10,69
1628369,9,Jayson Tatum,1610612738,BOS,20,10.5,5.3,1.1,1.1,9,169
202710,10,Jimmy Butler,1610612748,MIA,22,6.5,5.9,1.8,0.6,10,218
1627750,11,Jamal Murray,1610612743,DEN,20,5.7,7.1,1.5,0.3,8,159
1629630,12,Ja Morant,1610612763,MEM,5,6.8,7.0,1.8,0.2,10,57
2544,13,LeBron James,1610612747,LAL,16,9.9,6.5,1.1,1.1,9,136
203114,14,Khris Middleton,1610612749,MIL,5,6.4,6.2,0.6,0.0,9,42
203954,15,Joel Embiid,1610612755,PHI,9,9.8,2.7,0.7,2.8,9,94
201566,16,Russell Westbrook,1610612746,LAC,5,7.6,7.4,1.2,1.4,8,40
1628969,17,Mikal Bridges,1610612751,BKN,4,5.3,4.0,0.5,0.5,8,31
1630217,17,Desmond Bane,1610612763,MEM,6,6.0,3.2,0.5,0.0,10,57
1628378,19,Donovan Mitchell,1610612739,CLE,5,5.0,7.2,2.0,0.6,8,39
